age,workclass,education,educationno,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native
25, Private, 11th,7, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, United-States
38, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States
28, Local-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
44, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,7688,0,40, United-States
34, Private, 10th,6, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States
63, Self-emp-not-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,0,32, United-States
24, Private, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States
55, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10, United-States
65, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,6418,0,40, United-States
36, Federal-gov, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
26, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,39, United-States
48, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,48, United-States
43, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
20, State-gov, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States
43, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,30, United-States
37, Private, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,20, United-States
34, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,47, United-States
34, Private, Some-college,10, Never-married, Other-service, Own-child, Black, Female,0,0,35, United-States
25, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, Peru
25, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
45, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,90, United-States
22, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States
23, Private, HS-grad,9, Separated, Machine-op-inspct, Unmarried, Black, Male,0,0,54, United-States
54, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States
32, Self-emp-not-inc, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States
46, State-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7688,0,38, United-States
56, Self-emp-not-inc, 11th,7, Widowed, Other-service, Unmarried, White, Female,0,0,50, United-States
24, Self-emp-not-inc, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States
23, Local-gov, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
26, Private, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States
36, Local-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
22, Private, 5th-6th,3, Never-married, Priv-house-serv, Not-in-family, White, Male,0,0,50, Guatemala
17, Private, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States
20, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
65, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States
44, Self-emp-inc, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States
36, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States
29, Private, 11th,7, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
20, State-gov, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,0,0,32, United-States
28, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,36, United-States
39, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico
54, Private, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,3908,0,50, United-States
52, Private, 11th,7, Separated, Priv-house-serv, Not-in-family, Black, Female,0,0,18, United-States
56, Self-emp-inc, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States
18, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States
39, Private, HS-grad,9, Divorced, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,1721,24, United-States
22, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,14084,0,60, United-States
38, Private, 9th,5, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,54, Mexico
21, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States
63, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
34, Local-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,3103,0,50, United-States
42, Self-emp-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,50, United-States
33, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
30, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States
39, Private, Some-college,10, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States
26, Private, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
